run,arch,lead_config,num_leads,total_params,training_time_s,best_epoch,auroc_macro,f1_macro,f1_samples,exact_match_accuracy,specificity_macro,auroc_AF,f1_AF,auroc_IAVB,f1_IAVB,auroc_LAD,f1_LAD,auroc_LAnFB,f1_LAnFB,auroc_NSR,f1_NSR,auroc_PAC,f1_PAC,auroc_RBBB,f1_RBBB,auroc_SB,f1_SB,auroc_STD,f1_STD,auroc_STach,f1_STach,auroc_TAb,f1_TAb
cnn_lstm_1-lead,cnn_lstm,1-lead,1,1439915,1836.7,25,0.9399,0.6493,0.7304,0.397,0.9077,0.9859,0.8435,0.9741,0.6557,0.9156,0.6426,0.9759,0.6652,0.9698,0.9292,0.9082,0.4684,0.9652,0.6901,0.9792,0.7015,0.8541,0.2998,0.9939,0.8172,0.817,0.4287
cnn_lstm_12-lead,cnn_lstm,12-lead,12,1445195,2389.3,22,0.9611,0.703,0.7844,0.5037,0.9309,0.9868,0.8563,0.9785,0.6913,0.9503,0.7261,0.9777,0.6697,0.9724,0.9274,0.9337,0.5451,0.9893,0.8146,0.9805,0.7219,0.921,0.423,0.9913,0.815,0.891,0.543
cnn_lstm_2-lead,cnn_lstm,2-lead,2,1440395,1855.2,24,0.9531,0.6817,0.7576,0.4464,0.9207,0.9884,0.871,0.9734,0.7092,0.9364,0.6941,0.9824,0.6482,0.9685,0.9238,0.93,0.5117,0.9794,0.755,0.9809,0.7221,0.895,0.3616,0.9924,0.805,0.8574,0.4973
cnn_lstm_3-lead,cnn_lstm,3-lead,3,1440875,1903.0,24,0.9539,0.6719,0.7586,0.4373,0.9134,0.9894,0.8844,0.9773,0.6699,0.9443,0.7021,0.9798,0.6141,0.9712,0.9296,0.9185,0.5121,0.9796,0.7497,0.9806,0.7005,0.8982,0.3508,0.9919,0.7817,0.8615,0.4955
cnn_lstm_4-lead,cnn_lstm,4-lead,4,1441355,1773.2,21,0.9579,0.6826,0.7693,0.4629,0.9212,0.9881,0.8656,0.9788,0.6438,0.9366,0.6907,0.9785,0.6427,0.969,0.9274,0.9277,0.5152,0.9894,0.8274,0.9797,0.6878,0.9099,0.3509,0.9935,0.8271,0.8858,0.5304
cnn_lstm_6-lead,cnn_lstm,6-lead,6,1442315,1630.8,17,0.9529,0.6607,0.7516,0.4355,0.9124,0.9887,0.8367,0.9779,0.6145,0.9421,0.6931,0.9768,0.6439,0.9674,0.9233,0.9139,0.463,0.9792,0.7062,0.9804,0.719,0.9006,0.3523,0.993,0.8144,0.8621,0.501
resnet_1-lead,resnet,1-lead,1,287339,2264.0,49,0.938,0.6027,0.6945,0.3197,0.8808,0.9864,0.822,0.9753,0.628,0.9223,0.6426,0.9796,0.547,0.9653,0.9217,0.8512,0.284,0.969,0.6599,0.9657,0.6425,0.881,0.2957,0.9907,0.7322,0.8314,0.4536
resnet_12-lead,resnet,12-lead,12,292619,3176.5,38,0.9525,0.646,0.7401,0.3868,0.8992,0.9816,0.868,0.976,0.6196,0.9507,0.6913,0.9806,0.5688,0.9672,0.9243,0.8578,0.3396,0.9917,0.8433,0.9724,0.6362,0.9178,0.3724,0.9899,0.7227,0.8919,0.5204
resnet_2-lead,resnet,2-lead,2,287819,2338.7,48,0.9476,0.624,0.7157,0.3468,0.8951,0.9858,0.8404,0.9731,0.6224,0.9417,0.6544,0.9811,0.6092,0.9673,0.9235,0.8658,0.332,0.9854,0.7385,0.9699,0.5803,0.903,0.3594,0.99,0.7199,0.86,0.4834
resnet_3-lead,resnet,3-lead,3,288299,2430.7,44,0.9466,0.6264,0.7282,0.3756,0.897,0.9866,0.8408,0.9725,0.604,0.9455,0.6723,0.9798,0.5969,0.9643,0.9196,0.8542,0.3015,0.9827,0.7178,0.9704,0.6262,0.9055,0.3789,0.9909,0.7247,0.8605,0.5078
resnet_4-lead,resnet,4-lead,4,288779,2480.5,49,0.9514,0.6451,0.7341,0.3848,0.9055,0.9854,0.8191,0.9732,0.6288,0.9407,0.6812,0.9803,0.573,0.9674,0.9225,0.8654,0.3485,0.9921,0.8151,0.9749,0.6529,0.9128,0.335,0.989,0.7737,0.8837,0.5458
resnet_6-lead,resnet,6-lead,6,289739,2353.6,35,0.9473,0.6289,0.7165,0.3597,0.8957,0.9847,0.8338,0.9733,0.6368,0.9447,0.7043,0.9801,0.5843,0.9632,0.9121,0.8693,0.3308,0.9833,0.7328,0.9716,0.6365,0.8952,0.3084,0.9889,0.7444,0.8665,0.494
